university_name,tier,full_address,city,state,pin_code,url,admission_portal_url,application_deadline_2026,college_test,test_name,cuet_accepted,application_fee_inr,avg_annual_tuition_inr,primary_domains,accreditation,contact_info,notes
"Medi-Caps University",Tier 2,"A.B. Road, Pigdamber, Rau, Indore 453331",Indore,Madhya Pradesh,453331,https://www.medicaps.ac.in,https://admissions.medicaps.ac.in,"Rolling; MU-SAT conducted throughout the year",Yes,"MU-SAT (general entrance + scholarship); MLAT (Law)",No,1600,"₹1,40,000 – ₹3,15,000/year (BTech total: ₹5.6L–12.6L; MBA: ₹1.3L–2.8L/year)","Engineering, Management, Law, Pharmacy, Agriculture, Sciences","NAAC A; UGC; AICTE; BCI; PCI; NIRF #59 (2024 Overall); Times #83 (Pharmacy)","info@medicaps.ac.in; 0731-4259400","33-acre campus; 94.2% placement rate 2025; highest package ₹52 LPA; strong in CSE with AI/ML, Cybersecurity tracks"
"Parul University",Tier 2,"P.O. Limda, Ta. Waghodia, Vadodara 391760",Vadodara,Gujarat,391760,https://www.paruluniversity.ac.in,https://admissions.paruluniversity.ac.in,"Rolling; ACPC govt seats: Jun-Aug 2026; Self-finance: 30 Apr 2026",No (merit/GUJCET/JEE for engineering; NEET for medical),N/A,Yes (CUET accepted for some),1400,"₹1,50,000 – ₹2,50,000/year (BTech: ₹1.68L–2.65L/yr; MBA: varies)","Engineering, Pharmacy, Management, Law, Nursing, Medical (MBBS), Design, Health Sciences","NAAC A++; UGC; AICTE; BCI; INC; PCI; NMC; NABH; NIRF #41 (Pharmacy), #47 (Innovation)","1800-123-1104; admissions@paruluniversity.ac.in","India's youngest NAAC A++ university (first cycle); 65,000+ students; 117-acre campus; 2,200 Recruiters; highest package ₹45.98 LPA"
"The Neotia University",Tier 2,"Sarisa, D.H. Road, 24 Pgs (South), Kolkata 743368",Kolkata (Sarisa),West Bengal,743368,https://www.neotiauniversity.ac.in,https://www.neotiauniversity.ac.in/admission,"Rolling; applications accepted year-round",Yes,TNU NEO Admission Test,No,N/A (no explicit fee published),"₹80,000 – ₹2,00,000/year (varies by programme)","Engineering, Agriculture, Maritime Studies, Management, Law, Pharmacy, Nursing, Hospitality","UGC; SIRO; ICAR; PCI; BCI; DGS (Shipping); ISO 9001:2015; QS Asia 1401-1500","admissions@neotiauniversity.ac.in; 033-66800800","Founded by Ambuja Neotia Group; 60-acre campus on Diamond Harbour Road; unique maritime + agriculture + nursing programs for East India"
"Swarrnim Startup & Innovation University",Tier 2,"Visat-Kherva Road, Near Gandhinagar, Gandhinagar 382422",Gandhinagar,Gujarat,382422,https://www.ssiu.edu.in,https://www.ssiu.edu.in/admissions,"Rolling; ACPC counselling Jun-Aug 2026",No,N/A (JEE Main/GUJCET/CUET accepted),Yes (GUJCET/CUET accepted),N/A,"₹1,00,000 – ₹5,00,000 (BTech: ₹1L–5L range; MBA: ₹2L–10.5L)","Engineering, Management, Sciences, Computer Applications, Innovation","UGC; AICTE; Gujarat Private Universities Act","info@ssiu.edu.in","Innovation-focused mandate; startup ecosystem emphasis; Gujarat's only dedicated startup university"
"MATS University",Tier 2,"Aarang-Kharora Highway, Arang, Raipur 493441",Raipur (Arang),Chhattisgarh,493441,https://www.matsuniversity.ac.in,https://www.matsuniversity.ac.in/admission,"Rolling; academic session starts August 2026",No,N/A (JEE Main/CAT/MAT for relevant programmes),Optional,600,"₹60,000 – ₹1,20,000/year (varies by programme)","Engineering, Management, Law, Pharmacy, Sciences, Arts","NAAC A+ (2025); UGC; AICTE; BCI; PCI; NCTE; AIU","info@matsuniversity.ac.in; 077140 78995","Established 2006; recently upgraded to NAAC A+; strong CG regional brand; UGC-DEB approved distance education"
"ICFAI University, Dehradun",Tier 2,"Rajawala Road, Central Hope Town, Selaqui, Dehradun 248011",Dehradun,Uttarakhand,248011,https://www.iudehradun.edu.in,https://www.iudehradun.edu.in/admissions,"Rolling; Applications open till 15 Jul 2026",Yes,"ATIT (Engineering); ILSAT (Law)",No,500,"₹1,10,000/year (BBA); BTech total: ₹5.9L; overall range: ₹4.5L–10.5L (total programme)","Engineering, Law, Management, Education, Pharmacy","NAAC (accredited); UGC; AICTE; BCI; NCTE; ACU; AIU; IIRF Rank #1 Private University in Uttarakhand","admissions@iudehradun.edu.in; 0135-2789100","25-acre Selaqui campus; #1 in Uttarakhand (private) by IIRF; Selaqui industrial zone proximity; low application fee (₹500)"
"DIT University",Tier 2,"Mussoorie Diversion Road, Makkawala, Dehradun 248009",Dehradun,Uttarakhand,248009,https://www.ditu.ac.in,https://www.ditu.ac.in/admissions,"Rolling; JEE-based for Engineering (ongoing)",No,N/A (JEE Main/NATA/GATE/CAT/GPAT/DUET accepted),No,N/A (contact admissions for fee),"₹1,06,600 – ₹3,07,500/year (Engineering: ~₹1.4L/yr; MBA: ₹3.07L/yr; Pharmacy: ~₹2.5L/yr)","Engineering, Pharmacy, Design, Architecture, Management, Sciences, Health Sciences","NAAC A; UGC; AICTE; PCI; COA; AIU; IAU; QS I-Gauge Diamond; NIRF #83 (Pharmacy), #201-300 (Engineering)","1800-121-041-000; admissions@ditu.ac.in","Established 1998; university status 2013; 2nd in India to receive QS I-Gauge Diamond; 400+ recruiters; highest package ₹58 LPA"
"ITM University, Raipur",Tier 2,"Uparwara, Teh. Abhanpur, Naya Raipur, Dist. Raipur 493225",Raipur,Chhattisgarh,493225,https://www.itmuniversity.ac.in,https://www.itmuniversity.ac.in/admission,"Rolling; CG PET-based for Engg: May 14, 2026; MBA: CAT/MAT/XAT registration ongoing",No,N/A (CG PET/JEE for Engineering; CAT/MAT/XAT/CMAT/GMAT for MBA),No,N/A,"₹60,000 – ₹1,50,000/year (varies by programme)","Engineering, Management, Sciences, Law","NAAC B+; UGC; AICTE; ARIIA Rank #13 India (Promising); #1 in CG by UniRank (3 consecutive years)","admissions@itmuniversity.ac.in; 0771-4979400","25-acre Naya Raipur campus; 48 faculty; Fortune India Best B-Schools 2025; 100% placement (eligible students) 2023; iConnect MBA flagship"
"YBN University",Tier 3,"Namkum, Ranchi 834010",Ranchi,Jharkhand,834010,https://www.ybnu.ac.in,https://www.ybnu.ac.in/admission,"Rolling; applications accepted year-round",No,N/A (merit-based),No,1000 (registration fee),"₹60,000 – ₹4,80,000 (full programme; varies widely by course)","Engineering, Nursing, Pharmacy, Agriculture, Management, Sciences, Journalism","NAAC B+; UGC; NCTE; PCI; INC; BCI; AIU","info@ybnu.ac.in; 0651-2261000","Established 2017 in Jharkhand (lowest GER state in India ~13%); 100-acre campus; Jharkhand's tribal population served; 100% scholarships for top scorers"
"KK Modi University",Tier 3,"Mahmara, Jalbandha Road, Durg 491001",Durg,Chhattisgarh,491001,https://www.kkmuniversity.ac.in,https://www.kkmuniversity.ac.in/admission,"Rolling; applications accepted year-round",Yes,KKMU Admission Test,Yes (CUET accepted),N/A (apply online; 3-step process),"₹1,00,000 – ₹1,70,000/year (BTech total: ₹5.86L; avg: ₹1.26L/year)","Engineering, Management, Sciences, Design, Hospitality & Tourism","UGC; Chhattisgarh Private Universities Regulatory Commission; international collaborations (UC Davis, VCU, Luzern, Paris School of Art)","info@kkmuniversity.ac.in; 0788-2210000","Founded 2018 by Modi Enterprises ($2.8B conglomerate); 25-acre campus; unique e/Hybrid degree model; Harvard-affiliated certificate courses; KKMU is only univ in CG offering B.Com (Hons)"
"Madhyanchal Professional University",Tier 3,"Bhadbhada Road, Ratibad, Bhopal 462044",Bhopal (Ratibad),Madhya Pradesh,462044,https://www.mpubhopal.ac.in,https://www.mpubhopal.ac.in/admissions,"Rolling; applications accepted year-round",No,N/A (merit + national exams),No,N/A,"₹28,050 – ₹2,82,200/year (varies widely by programme)","Engineering, Management, Pharmacy, Nursing, Sciences, Education","UGC; AICTE; PCI; INC; NCTE; AIU; Not NAAC accredited (as of 2025)","info@mpubhopal.ac.in; 0755-4278000","Established 2018 under Patel Group of Institutions (PGOI); 13-acre campus; 8 academic schools; highest package ₹24 LPA; affordable fee structure for Central India"
"Gokul Global University",Tier 3,"Gokul Global University, Siddhpur 384151, Patan District",Siddhpur,Gujarat,384151,https://www.gokuluniversity.ac.in,https://www.gokuluniversity.ac.in/admission,"Rolling; applications accepted year-round",No,N/A (merit-based),No,N/A,"₹50,000 – ₹1,00,000/year (approx.)","Sciences, Management, Law, Journalism, Physiotherapy, Social Work, Library Science","UGC; NAAC (accredited; grade not publicly confirmed); Gujarat Private Universities Act","info@gokuluniversity.ac.in","Founded by Gokul Foundation Trust (est. 2009); rural-focused; Siddhpur non-metro Gujarat; serves agrarian community of North Gujarat; AYUSH programmes"
"Mind Power University",Tier 3,"Bohra Kunn, Bhimtal, Nainital 263136",Bhimtal (Nainital),Uttarakhand,263136,https://mindpoweruniversity.ac.in,https://mindpoweruniversity.ac.in/admission,"Rolling; Admissions Open 2026-27",No,N/A (merit-based),No,N/A,"₹50,000 – ₹1,50,000/year (approx.; varies by programme)","Management, Engineering, Commerce, Sciences, Humanities, Hotel Management, Yoga","UGC; AIU","info@mindpoweruniversity.in; +91-5942-221000","Located at 1400m altitude in Bhimtal hills; serene eco campus; 50+ programmes; focus on mindfulness + academics; serves remote Kumaon hill communities"
"Guru Nanak University",Tier 3,"NH-44, Ibrahimpatnam, Near Hyderabad ORR, Hyderabad, Telangana","Hyderabad (Ibrahimpatnam)",Telangana,501506,https://gnuindia.org,https://gnuindia.org/admissions,"Rolling; GNUCET 2026 registration open",Yes,GNUCET 2026 (Guru Nanak University Common Entrance Test),No,N/A,"₹60,000 – ₹1,50,000/year (BCA: ₹60-70K/yr; MBA: ₹90-1L/yr; total BCA: ₹1.8-2.1L)","Engineering, Management, Sciences, Agriculture, Health Sciences, Horticulture","UGC (approved 2024); Telangana Private Universities Act 11 of 2024; No NAAC yet (too new)","info@gnuindia.org","Brand new university (est. 2024) – one of India's newest; 100-acre campus near ORR Hyderabad; scholarships up to ₹25 Crores; strong infrastructure from day one; rapidly building applicant pipeline"
